pair_id,comparison,prompt_id,model_a,model_b,identical_response
1,sft_vs_ppo,19,ppo_hh,sft,False
2,sft_vs_ppo,5,ppo_hh,sft,False
3,sft_vs_ppo,14,ppo_hh,sft,False
4,sft_vs_ppo,4,sft,ppo_hh,False
5,sft_vs_ppo,9,sft,ppo_hh,False
6,sft_vs_ppo,13,sft,ppo_hh,False
7,sft_vs_ppo,15,ppo_hh,sft,False
8,sft_vs_ppo,18,ppo_hh,sft,False
9,sft_vs_ppo,6,sft,ppo_hh,True
10,sft_vs_ppo,12,sft,ppo_hh,False
11,sft_vs_ppo,17,sft,ppo_hh,False
12,sft_vs_ppo,10,sft,ppo_hh,False
13,sft_vs_ppo,1,ppo_hh,sft,False
14,sft_vs_ppo,11,sft,ppo_hh,False
15,sft_vs_ppo,2,sft,ppo_hh,False
16,sft_vs_ppo,16,sft,ppo_hh,False
17,sft_vs_ppo,7,sft,ppo_hh,True
18,sft_vs_ppo,8,sft,ppo_hh,False
19,sft_vs_ppo,0,sft,ppo_hh,False
20,sft_vs_ppo,3,sft,ppo_hh,False
21,sft_vs_dpo,8,dpo_hh,sft,False
22,sft_vs_dpo,17,sft,dpo_hh,False
23,sft_vs_dpo,5,sft,dpo_hh,False
24,sft_vs_dpo,14,sft,dpo_hh,False
25,sft_vs_dpo,10,sft,dpo_hh,False
26,sft_vs_dpo,7,dpo_hh,sft,True
27,sft_vs_dpo,6,dpo_hh,sft,False
28,sft_vs_dpo,18,dpo_hh,sft,False
29,sft_vs_dpo,4,sft,dpo_hh,False
30,sft_vs_dpo,13,dpo_hh,sft,False
31,sft_vs_dpo,0,sft,dpo_hh,False
32,sft_vs_dpo,1,sft,dpo_hh,False
33,sft_vs_dpo,15,dpo_hh,sft,False
34,sft_vs_dpo,19,dpo_hh,sft,False
35,sft_vs_dpo,16,dpo_hh,sft,False
36,sft_vs_dpo,11,dpo_hh,sft,True
37,sft_vs_dpo,9,dpo_hh,sft,False
38,sft_vs_dpo,2,dpo_hh,sft,False
39,sft_vs_dpo,12,sft,dpo_hh,False
40,sft_vs_dpo,3,sft,dpo_hh,False
41,ppo_vs_dpo,0,dpo_hh,ppo_hh,False
42,ppo_vs_dpo,19,ppo_hh,dpo_hh,True
43,ppo_vs_dpo,18,dpo_hh,ppo_hh,False
44,ppo_vs_dpo,4,ppo_hh,dpo_hh,False
45,ppo_vs_dpo,17,dpo_hh,ppo_hh,False
46,ppo_vs_dpo,16,ppo_hh,dpo_hh,False
47,ppo_vs_dpo,1,ppo_hh,dpo_hh,False
48,ppo_vs_dpo,13,dpo_hh,ppo_hh,False
49,ppo_vs_dpo,15,dpo_hh,ppo_hh,False
50,ppo_vs_dpo,7,ppo_hh,dpo_hh,True
51,ppo_vs_dpo,3,ppo_hh,dpo_hh,False
52,ppo_vs_dpo,5,dpo_hh,ppo_hh,False
53,ppo_vs_dpo,11,dpo_hh,ppo_hh,False
54,ppo_vs_dpo,9,ppo_hh,dpo_hh,False
55,ppo_vs_dpo,14,dpo_hh,ppo_hh,False
56,ppo_vs_dpo,6,ppo_hh,dpo_hh,False
57,ppo_vs_dpo,2,ppo_hh,dpo_hh,False
58,ppo_vs_dpo,8,dpo_hh,ppo_hh,False
59,ppo_vs_dpo,12,dpo_hh,ppo_hh,False
60,ppo_vs_dpo,10,dpo_hh,ppo_hh,False
